,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,ORCL,ADBE,CRM,CSCO,ACN,INTC,AMD,QCOM,TXN,IBM,NOW,INTU,AMAT,MU,ADI,LRCX,NFLX,DIS,CMCSA,T,VZ,TMUS,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,SPGI,BX,V,MA,PYPL,UNH,JNJ,LLY,PFE,MRK,ABBV,TMO,ABT,DHR,BMY,AMGN,MDT,CVS,GILD,WMT,PG,KO,PEP,COST,MCD,NKE,SBUX,HD,LOW,TGT,BKNG,MDLZ,CL,EL,XOM,CVX,COP,SLB,CAT,BA,GE,HON,UPS,RTX,LMT,DE,MMM,UNP,LIN,FCX,NEE,DUK,BRK-B,F,GM,UBER,ABNB,SHOP,SQ,PLTR,SNOW,COIN
2024-07-16,188.68,201.11,182.64,358.27,380.33,287.03,102.73,465.71,306.8,383.95,316.47,137.31,140.65,114.24,372.27,129.91,486.97,367.15,454.68,303.12,465.64,329.42,292.74,311.81,143.85,148.4,166.87,132.95,127.88,351.21,321.13,254.29,272.73,153.08,306.63,509.98,120.63,173.81,106.94,484.23,362.86,367.13,477.53,224.24,408.91,345.47,47.11,277.32,44.21,334.06,489.99,75.44,194.65,285.96,347.68,112.77,97.34,476.03,313.86,116.84,327.45,210.74,283.47,419.72,385.86,325.68,178.26,308.93,108.37,188.58,218.49,93.49,209.59,379.91,222.26,398.91,64.93,194.55,494.52,171.61,262.27,54.12,428.3,448.7,328.43,98.48,196.2,456.8,136.91,155.31,198.15,206.4,235.33,222.06,300.57,190.84,436.73,348.13,128.35,355.3,242.07
2024-07-17,189.04,195.95,187.11,361.78,378.63,281.29,103.22,466.73,301.38,376.95,312.51,134.88,138.54,119.06,365.42,134.5,484.98,367.28,457.38,303.22,460.86,325.19,306.12,312.3,144.78,147.01,164.58,135.99,133.45,351.16,312.87,260.51,266.47,156.94,307.03,491.97,119.34,169.52,109.23,488.21,371.37,346.26,479.53,225.19,392.19,342.56,46.86,276.33,43.54,333.43,491.59,77.4,187.11,289.65,346.73,112.2,96.68,484.0,314.81,119.69,334.69,216.71,281.25,428.71,391.06,327.71,176.62,306.55,106.42,184.13,212.9,94.93,213.18,377.34,219.96,398.42,64.95,190.82,468.07,172.11,263.45,54.43,436.82,440.13,335.91,96.62,196.74,447.77,137.12,157.59,199.93,206.31,240.21,228.08,297.3,189.04,438.09,336.58,130.24,367.24,252.45
2024-07-18,190.95,195.72,197.11,356.55,388.45,298.93,103.44,478.66,290.45,387.1,314.06,132.56,136.18,117.72,369.02,133.6,503.22,372.99,456.21,305.04,461.9,320.11,325.54,322.05,146.77,139.84,165.15,136.47,132.77,352.38,307.0,260.11,261.4,156.4,318.73,507.12,121.97,169.07,108.62,493.6,376.28,332.62,484.44,224.58,372.25,330.58,45.72,274.48,44.23,337.6,484.22,77.14,187.59,287.22,352.88,113.66,96.46,477.11,325.46,120.1,331.34,214.17,273.3,435.63,376.31,324.37,177.84,308.56,106.98,185.13,216.01,97.43,218.16,381.37,223.69,409.45,64.27,189.89,451.7,170.24,266.2,55.71,441.09,433.42,356.68,95.12,198.73,437.14,137.49,158.03,203.27,205.32,248.07,231.14,298.63,191.69,425.32,345.14,127.94,378.5,251.16
2024-07-19,188.96,203.22,197.28,370.97,383.15,299.99,102.09,513.76,295.33,381.31,309.92,130.1,136.94,117.0,377.47,132.62,497.18,382.9,449.99,297.04,466.79,321.67,305.9,313.28,144.03,143.9,166.76,135.11,129.6,376.04,297.82,259.88,266.91,153.81,328.95,513.22,121.26,169.04,110.93,509.73,380.06,328.23,492.85,222.63,372.26,340.67,45.67,271.34,46.22,335.09,499.81,80.1,189.91,281.9,351.0,110.71,98.02,466.13,325.79,120.09,327.24,207.33,281.95,440.02,374.54,319.67,173.0,313.18,109.07,187.33,213.21,99.27,223.89,375.71,224.44,422.43,63.67,189.34,449.83,167.54,260.13,56.07,437.9,436.19,352.29,96.66,209.37,430.25,136.79,162.06,202.29,208.17,248.1,227.74,293.6,190.89,426.44,339.95,125.84,392.28,257.82
2024-07-22,187.49,203.51,196.54,380.48,381.61,303.52,99.94,513.48,301.96,384.59,305.71,128.04,134.33,115.41,381.33,130.02,490.89,365.72,467.03,291.35,463.87,326.81,303.56,321.06,144.83,142.07,168.49,136.06,129.66,381.92,290.12,255.29,264.01,156.44,329.55,489.82,122.21,174.29,108.4,505.47,387.45,329.59,484.96,223.06,369.42,339.89,44.44,264.04,45.6,345.96,483.47,79.68,185.67,291.64,354.45,109.39,100.94,461.57,326.46,120.21,317.01,202.39,282.77,437.33,370.2,317.12,168.83,317.03,109.87,184.0,209.96,96.76,224.09,381.84,220.31,420.36,63.7,182.74,447.21,162.76,271.43,57.46,444.41,438.48,332.24,98.14,215.66,442.51,139.02,162.42,203.02,209.6,258.22,226.98,297.85,192.33,420.51,340.34,124.88,403.22,261.23
2024-07-23,185.49,200.43,203.49,390.18,367.69,308.44,99.98,504.7,304.69,398.98,310.59,127.54,137.23,124.47,391.46,128.55,497.45,360.99,460.74,286.69,467.31,326.71,298.03,314.6,144.28,141.44,168.49,134.78,130.82,393.83,275.97,258.83,258.77,157.03,327.55,461.92,121.39,177.4,112.0,506.98,389.82,332.43,475.46,222.47,374.38,348.14,45.08,267.68,46.4,338.43,486.0,78.37,190.31,294.66,355.37,109.57,101.37,464.96,326.12,117.67,313.84,205.27,277.37,443.82,357.46,315.67,173.43,313.52,109.61,183.2,212.98,93.2,220.25,389.77,218.53,431.66,63.16,182.84,466.57,162.93,271.48,57.73,448.41,436.47,353.43,99.11,215.51,436.31,137.47,162.45,201.98,210.0,255.92,222.76,303.02,192.43,425.19,347.26,125.14,403.96,248.18
2024-07-24,183.5,205.21,209.88,389.84,366.3,298.39,100.82,509.72,300.67,396.47,306.85,125.7,136.34,122.54,384.56,129.84,511.2,358.22,446.94,280.96,462.0,340.89,289.36,324.44,146.07,138.86,166.49,134.78,130.0,393.75,268.09,263.85,252.43,155.63,327.67,454.97,122.08,183.72,119.19,501.95,387.98,325.44,485.37,219.41,365.36,340.73,45.11,263.87,46.37,341.73,482.86,76.9,196.45,294.43,362.4,115.82,101.09,469.64,329.86,117.36,320.89,216.84,281.47,457.2,366.3,310.06,170.72,313.53,109.32,183.6,209.73,93.52,227.33,389.28,218.55,421.83,62.88,182.63,449.14,164.46,262.94,59.14,462.41,433.79,375.32,98.22,216.27,431.21,134.99,160.83,203.77,207.88,257.08,226.61,305.12,195.96,430.3,331.15,121.41,391.7,239.54
2024-07-25,182.51,205.91,201.1,393.49,357.65,299.15,101.19,510.41,293.27,389.04,302.83,125.34,135.13,127.4,388.28,128.38,501.2,360.76,432.98,278.8,451.08,344.53,301.06,334.28,149.87,134.8,168.73,136.53,125.25,412.48,272.52,269.7,256.23,156.58,323.68,444.9,119.94,187.22,119.01,502.13,371.66,324.66,481.46,217.15,364.24,345.57,46.67,259.02,47.52,341.7,497.16,75.44,196.76,300.15,364.51,117.36,102.54,469.55,330.18,117.31,326.01,219.8,277.21,450.37,354.49,307.46,172.47,317.52,110.43,190.88,210.41,90.77,226.03,390.96,224.46,409.22,61.87,184.53,451.63,162.1,260.49,57.84,471.22,436.43,359.53,100.17,218.5,439.88,137.66,157.27,204.03,209.39,252.6,229.36,297.07,195.57,441.49,335.56,120.16,386.28,249.78
2024-07-26,182.46,204.63,204.59,386.09,355.96,304.11,101.56,517.15,295.17,392.56,306.7,126.79,136.0,123.03,391.2,128.61,474.11,367.05,451.33,275.04,459.6,343.05,304.64,345.34,152.83,130.1,168.09,137.56,123.91,401.22,262.91,267.16,254.86,153.49,328.65,437.74,119.31,181.89,120.09,499.29,382.12,325.67,484.89,223.26,361.21,340.42,45.23,262.28,47.56,353.31,479.03,78.82,202.7,300.95,361.95,122.45,101.43,478.96,337.62,118.33,312.82,217.61,277.97,460.16,365.79,301.71,172.04,316.92,110.1,199.55,209.3,89.01,225.17,385.35,231.37,425.96,61.83,186.93,451.15,162.99,268.04,56.5,470.71,433.42,361.93,100.24,214.9,440.73,136.39,159.08,203.68,208.74,250.83,229.43,291.16,195.36,438.11,337.93,119.67,384.87,251.69
2024-07-29,178.58,202.65,206.08,407.22,349.48,302.17,99.38,515.3,301.08,382.32,311.47,123.88,135.78,124.07,398.81,129.74,470.78,365.91,437.13,275.43,465.94,330.54,305.25,332.79,152.66,125.84,167.81,138.15,120.39,392.98,257.7,263.97,254.09,156.66,333.15,430.46,119.43,180.96,119.79,493.06,378.41,320.89,496.06,224.82,362.67,332.42,45.86,265.04,46.71,362.33,494.16,78.74,203.51,307.79,361.07,120.13,102.19,480.01,339.98,118.47,319.69,215.06,277.44,454.18,368.15,305.33,170.61,313.46,110.22,194.11,209.8,92.17,223.16,387.92,235.29,433.47,62.35,189.12,462.42,166.23,265.4,58.22,472.13,437.9,356.43,103.0,222.94,435.82,136.55,157.15,203.91,204.06,247.08,227.54,290.92,194.81,444.09,339.91,120.36,388.37,257.69
